title,score,categories,country,duration,release_date
无间道 - Infernal Affairs,9.0,剧情/悬疑/犯罪,中国香港,101 分钟,2003-09-05
教父2 - The Godfather: Part Ⅱ,9.0,剧情/犯罪,美国,202 分钟,1974-12-12
加勒比海盗 - Pirates of the Caribbean: The Curse of the Black Pearl,9.0,动作/奇幻/冒险,美国,143 分钟,2003-11-21
哈利·波特与魔法石 - Harry Potter and the Sorcerer's Stone,9.0,奇幻/冒险,美国、英国,152 分钟,2002-01-26
指环王3：王者无敌 - The Lord of the Rings: The Return of the King,9.0,剧情/动作/奇幻/冒险,美国、新西兰,201 分钟,2004-03-15
黑客帝国 - The Matrix,9.0,动作/科幻,美国、澳大利亚,136 分钟,2000-01-14
剪刀手爱德华 - Edward Scissorhands,9.0,剧情/爱情/奇幻,美国,105 分钟,1990-12-06
春光乍泄 - Happy Together,9.0,剧情/爱情,中国香港、日本、韩国,96 分钟,1997-05-17
大闹天宫 - The Monkey King,9.0,动画/奇幻,中国大陆,114 分钟,1965-12-31
天空之城 - 天空の城ラピュタ,9.0,动画/奇幻/冒险,日本,125 分钟,1992-05-01
音乐之声 - The Sound of Music,9.0,剧情/爱情/歌舞/传记,美国,174 分钟,1965-03-02
辛德勒的名单 - Schindler's List,9.5,剧情/历史/战争,美国,195 分钟,1993-11-30
魂断蓝桥 - Waterloo Bridge,9.5,剧情/爱情/战争,美国,108 分钟,1940-05-17
